企業名,キャッチコピー,ステータス,初年度年収
株式会社日東システムテクノロジーズ | 教育系システムに強み／定着率95%以上／残業月平均10h以下,100％自社内開発／自由なオフィスで仕事も捗る♪【SE】 正社員,正社員,300万円～500万円
生和コーポレーション株式会社 | 【大阪府緊急雇用対策に賛同】松岡修造さん起用のCMも放送中,自社システムの運用・保守・サポートを担う【社内SE】※転勤なし 正社員,正社員,
株式会社ライフランド | 【創業53年】地域密着の安定企業！※残業月10～30H,月給27万円以上！【社内SE】※開発等経験者募集 正社員,正社員,450万円～750万円
"長野県農協直販株式会社 | 長野県JAグループ◇取引先1,700店舗◇信州産農畜産物の流通拠点",JAグループの安定基盤のもとで働く【社内SE】★U・Iターン歓迎 正社員,正社員,350万円～450万円
ネクストリンクス株式会社 | 地域の製造業・流通業を中心に企業のシステム面を支援する企業,【上流SE／PL・ PM候補】☆WEB面接可☆プライム案件率95％以上 正社員,正社員,400万円～750万円
アトラス情報サービス株式会社 | 【緊急雇用対策に賛同】取引先は官公庁など。設立57年の安定企業,【SE（保守）】完全週休2日／独身寮あり／残業少なめ※大阪限定 正社員,正社員,
アトラス情報サービス株式会社 | 取引先は官公庁など。大手企業との取引多数。設立57年の安定企業,【SE（保守）】完全週休2日／定着率◎／残業少なめ※北海道限定 正社員,正社員,
ネクストリンクス株式会社 | 地域の製造業・流通業を中心に企業のシステム面を支援する企業,金融業界向け【SE】☆年休122日 ☆残業平均13時間 ☆WEB面接可 正社員,正社員,350万円～700万円
ネクストリンクス株式会社 | 地域の製造業・流通業を中心に企業のシステム面を支援する企業,製造業・流通業向け【SE】年休122日☆残業平均13時間☆WEB面接可 正社員,正社員,350万円～700万円
株式会社DearOne | 【NTTドコモのグループ会社】■年休130日,最先端のグロースマーケティング支援サービスの【プリセールス】 正社員,正社員,408万円～978万円
株式会社バル・コーポレーション | 業績好調！生活雑貨や食品を企画・展開する企業／大手取引先多数,【社内SE】※土日休み／年休120日／残業月10～20h／賞与4ヶ月分 正社員,正社員,
月電ソフトウェア株式会社 | 福島から世界へ！日進月歩で最新技術を生み出し続ける優良企業！,幹部候補の募集！グローバルに活躍できる【システムエンジニア】 正社員,正社員,
ピーディーシー株式会社 | 【デジタルサイネージ業界のパイオニア】★フルフレックス勤務,【ブリッジSE】　語学力を生かして海外で働きたい方を募集！ 正社員,正社員,500万円～800万円
フルタニ産業株式会社 | 完全週休2日制・土日祝休み／健康経営優良法人2021に認定！,【SE／PG】上流工程で活躍可能・大手メーカー案件多数★ 正社員,正社員,310万円～550万円
株式会社デジック | 北海道で自由度高くプロフェッショナル集団を目指す！,札幌勤務【SE】独立系SI／20年以上のノウハウでドコデモ開発を 正社員,正社員,306万円～594万円
株式会社オデッセイコミュニケーションズ | [新しい資格。新しいキャリア。]★完全週休2日 ★残業月10h程度,＼資格ビジネスを展開する“成長企業”を支える！／【社内SE】 正社員,正社員,400万円～600万円
株式会社ベイシア | 流通技術研究所【ベイシア/カインズ/ワークマンなど全国に展開】,グループ共通システムをオープン系へ刷新する【SE】 正社員,正社員,350万円～700万円
株式会社デジック | 東京で自由度高くプロフェッショナル集団を目指す！,東京勤務【SE】独立系SI／20年以上のノウハウでドコデモ開発を 正社員,正社員,360万円～648万円
ケーブルテレビ株式会社 | フレックス勤務も相談OK！働きやすさに自信あり,【社内SE(情報システム部門担当)】★月給28万5000円以上！ 正社員,正社員,400万円～600万円
